JUNK,MID,Baseline weight time,,
,560770,1/29/2021 9:56,,
,560771,2/5/2021 9:21,,
,527749,6/25/2020 12:53,,
,556016,1/21/2021 10:03,,
,512913,5/15/2020 10:59,,
,536211,9/3/2020 13:53,,
,536213,8/28/2020 14:52,,
,532246,8/6/2020 13:52,,
,547866,11/12/2020 10:04,,
,554013,1/6/2021 13:29,,
,536480,9/3/2020 13:54,,
,533537,7/31/2020 13:00,,
,533539,8/27/2020 11:15,,
,513573,5/15/2020 11:07,,
,531237,7/22/2020 13:05,,
,553253,1/8/2021 9:37,,
,555304,1/13/2021 8:49,,
,563323,2/24/2021 11:41,,
,564012,2/26/2021 8:48,,
,506798,2/20/2020 13:42,,
,530862,7/10/2020 14:56,,
,541234,9/10/2020 14:04,,
,550324,12/10/2020 15:22,,
,557109,1/21/2021 9:48,,
,553963,1/13/2021 15:59,,
,563326,2/19/2021 14:37,,
,506940,2/21/2020 10:10,,
,527294,6/11/2020 12:01,,
,522944,5/28/2020 13:08,,
,560962,3/17/2021 9:24,,
,544835,10/9/2020 11:04,,
,544836,10/8/2020 10:54,,
,510589,5/8/2020 13:10,,
,544838,10/9/2020 11:02,,
,544837,10/9/2020 11:05,,
,544456,10/9/2020 11:01,,
,544840,,,
,545994,10/9/2020 11:08,,
,546507,10/16/2020 11:34,,
,546503,10/9/2020 11:07,,
,545996,10/14/2020 9:54,,
,546508,10/16/2020 14:13,,
,505167,,,
,546512,,,
,561482,,,
,509652,,,
,540536,,,
,524760,,,
,524761,,,
,558306,,,
,560356,,,
,544358,,,
,553960,,,
,548715,,,
,548716,,,
,548717,,,
,556014,,,
,553964,,,
,509808,,,
,548465,,,
,548720,,,
,509811,,,
,509940,,,
,548721,,,
,556021,,,
,513271,,,
,542072,,,
,524921,,,
,521466,,,
,548722,,,
,567284,,,
,524925,,,
,524926,,,
