,MID,exp_date,handoff_date,number_of_habs
0,485124,20200624,,0
1,496639,20200312,,0
2,498756,20200617,20200608,4
3,498757,20200604,,0
4,498803,20200610,20200609,1
5,505167,20200721,20200716,3
6,506798,20200715,20200619,7
7,506940,20200817,20200804,8
8,509652,20200630,20200618,6
9,509808,20200902,20200824,7
10,509811,20200818,,0
11,509940,20200630,20200622,7
12,510589,20200819,20200810,6
13,512913,20200708,20200630,5
14,513271,20200729,20200713,8
15,513573,20200722,20200707,11
16,521466,20200909,20200831,6
17,522944,20200805,20200727,6
18,524760,20200916,20200908,8
19,524761,20200819,20200803,12
20,524921,20200729,20200713,12
21,524925,20200902,20200824,7
22,524926,20200923,20200914,9
23,527294,20200826,20200817,7
24,527749,20200930,20200921,7
25,530862,20200923,20200914,10
26,531237,20201014,20200928,12
27,532246,20200930,20200921,7
28,533537,20201007,20200922,10
29,533539,20201007,20200928,5
30,536211,20201028,20201020,6
31,536213,20201104,20201026,7
32,536480,20201118,20201102,11
33,540536,20201222,20201214,6
34,541234,20201111,20201026,11
35,542072,20201111,20201102,7
36,544358,20201123,20201116,5
37,544456,20201118,20201109,7
38,544835,20201216,20201207,8
39,544836,20201202,20201123,5
40,544837,20201209,20201123,11
41,544838,20201123,20201109,8
42,544840,20210108,20210108,1
43,545994,20201209,20201130,8
44,545996,20210120,20201221,15
45,546503,20210113,20210105,5
46,546507,20201222,20201214,6
47,546508,20210127,20210119,5
48,546512,20201202,20201116,8
49,547866,20210210,20210201,7
50,548465,20201216,20201207,9
51,548715,20210120,20210111,6
52,548716,20210217,20210125,17
53,548717,20210127,20210119,6
54,548720,20210203,20210125,7
55,548721,20210203,20210126,6
56,550324,20210217,20210208,7
