MID,SID,x,y,z,BLW_g,wt_g,TWF,WS_ml,WE_ml,TotalWater,TotalWaterPercent
498756,-999999,,,,24.9,20.3,0.85,0.86,0.715,1.42,0.0570281124497992
498757,-999999,,,,27.8,23.0,0.85,0.63,0.51,1.04,0.03741007194244604
498803,-999999,,,,23.03,19.1,0.85,0.48,0.61,1.0699999999999998,0.046461137646547974
505167,-999999,,,,27.8,23.8,0.85,0.62,0.38,1.0,0.03597122302158273
506798,-999999,,,,27.87,23.700000000000003,0.85,0.435,0.59,1.0,0.03588087549336204
506940,-999999,,,,27.73,23.9,0.85,0.8,0.32,1.0,0.036062026685899744
509652,-999999,,,,24.23,22.05,0.85,0.49,0.51,1.0,0.041271151465125874
509940,-999999,,,,29.23,23.6,0.85,1.25,0.6,1.92,0.06568593910366062
510589,-999999,,,,27.7,22.2,0.85,1.34,0.54,1.78,0.06425992779783393
512913,-999999,,,,30.4,24.65,0.85,1.19,0.6,1.81,0.059539473684210524
513271,-999999,,,,28.37,23.3,0.85,0.81,0.61,1.21,0.0426506873457878
513573,-999999,,,,28.83,23.6,0.85,0.91,0.74,1.69,0.05861949358307319
521466,-999999,,,,24.17,20.85,0.85,0.395,0.605,1.0,0.04137360364087712
522944,-999999,,,,28.0,22.7,0.85,1.1,0.66,1.83,0.06535714285714286
524761,-999999,,,,22.13,20.2,0.85,0.57,0.43,1.0,0.045187528242205156
524921,-999999,,,,26.4,21.65,0.85,0.79,0.655,1.3900000000000001,0.05265151515151516
524924,-999999,,,,24.83,20.2,0.85,0.91,0.7,1.7200000000000002,0.06927104309303264
524925,-999999,,,,21.83,18.9,0.85,0.16,0.86,1.0,0.04580852038479157
527749,-999999,,,,28.17,22.575,0.85,1.365,0.47,1.835,0.06514022009229677
530862,-999999,,,,27.73,23.2,0.85,0.5,0.53,1.0,0.036062026685899744
531237,-999999,,,,24.37,19.8,0.85,0.94,0.06,1.0,0.04103405826836274
532246,-999999,,,,27.13,23.1,0.85,0.3,0.7,1.0,0.03685956505713233
533537,-999999,,,,26.67,21.8,0.85,0.87,0.47,1.19,0.04461942257217847
533539,-999999,,,,24.27,20.4,0.85,0.51,0.57,1.0,0.04120313143798929
536211,-999999,,,,26.27,21.7,0.85,0.63,0.94,1.5699999999999998,0.059763989341454125
536213,-999999,,,,22.67,19.3,0.85,0.36,0.64,1.0,0.044111160123511246
536480,-999999,,,,28.03,23.3,0.85,0.53,0.6799999999999999,1.225,0.04370317516946129
540536,-999999,,,,29.33,25.15,0.85,0.425,0.575,1.0,0.03409478349812479
541234,-999999,,,,26.33,21.8,0.85,0.58,0.8,1.38,0.052411697683251046
544358,-999999,,,,22.73,18.6,0.85,0.72,0.67,1.3399999999999999,0.05895292564892212
544456,-999999,,,,25.23,21.1,0.85,0.75,0.34,1.0,0.03963535473642489
544835,-999999,,,,28.63,23.6,0.85,0.74,0.57,1.24,0.04331121201536849
544836,-999999,,,,27.87,22.6,0.85,1.09,0.64,1.7000000000000002,0.06099748833871547
544837,-999999,,,,28.07,23.2,0.85,0.66,0.59,1.3050000000000002,0.0464909155682223
544838,-999999,,,,27.17,22.0,0.85,1.09,0.5,1.6099999999999999,0.059256532940743456
545994,-999999,,,,28.97,23.25,0.85,1.37,0.55,1.9300000000000002,0.06662064204349327
545996,-999999,,,,21.7,20.0,0.85,0.59,0.41,1.0,0.04608294930875576
546503,-999999,,,,25.07,21.25,0.85,0.355,0.645,1.0,0.03988831272437176
546507,-999999,,,,21.8,19.15,0.85,0.365,0.635,1.0,0.04587155963302752
546508,-999999,,,,22.33,19.9,0.85,0.455,0.545,1.0,0.04478280340349306
546512,-999999,,,,26.57,22.1,0.85,0.48,0.56,1.04,0.03914188934888973
547866,-999999,,,,24.23,20.299999999999997,0.85,0.30000000000000004,0.77,1.105,0.04560462236896409
548464,-999999,,,,23.5,18.8,0.85,1.17,0.62,1.71,0.07276595744680851
548715,-999999,,,,23.07,18.75,0.85,0.86,0.6,1.46,0.06328565236237538
548716,-999999,,,,25.23,19.64,0.85,1.81,0.48,2.32,0.09195402298850575
548717,-999999,,,,24.93,20.21,0.85,0.98,0.425,1.395,0.055956678700361015
548720,-999999,,,,24.37,21.4,0.85,0.46,0.54,1.0,0.04103405826836274
548721,-999999,,,,24.57,20.35,0.85,0.6799999999999999,0.54,1.21,0.04924704924704924
550324,-999999,,,,32.0,26.0,0.85,1.2,0.45,1.65,0.0515625
553964,-999999,,,,22.6,19.35,0.85,0.2,0.8,1.0,0.04424778761061947
554013,-999999,,,,25.17,20.049999999999997,0.85,1.3399999999999999,0.655,1.9749999999999999,0.07846642828764401
556014,-999999,,,,27.47,22.69,0.85,0.66,0.49,1.17,0.042591918456498
556016,-999999,,,,27.6,23.07,0.85,0.39,0.755,1.145,0.04148550724637681
556021,-999999,,,,25.07,20.68,0.85,0.63,0.75,1.51,0.060231352213801354
