,MID,probeA_blood_mean,probeA_blood_max,probe A sharpened,probeB_blood_mean,probeB_blood_max,probe B sharpened,probeC_blood_mean,probeC_blood_max,probe C sharpened,probeD_blood_mean,probeD_blood_max,probe D sharpened,probeE_blood_mean,probeE_blood_max,probe E sharpened,probeF_blood_mean,probeF_blood_max,probe F sharpened
0,1044389060_510589_20200819,3.5,5,1.0,3.5,5,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0
1,1077897245_545996_20210121,2.5,3,1.0,2.5,3,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0
2,1039257177_524921_20200729,0.0,0,1.0,0.0,0,1.0,0.5,1,1.0,0.5,1,1.0,0.0,0,1.0,0.0,0,1.0
3,1037927382_513573_20200722,0.0,0,1.0,0.0,0,1.0,0.5,1,0.0,1.0,1,1.0,1.0,1,0.0,0.5,1,0.0
4,987924404_487461_20191120,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2.0,2,0.0,0.0,0,0.0,0.0,0,0.0
5,1001820677_476815_20200122,4.0,5,0.0,0.0,0,0.0,0.5,1,0.0,0.0,0,0.0,0.5,1,0.0,0.5,1,0.0
6,1030489628_498756_20200617,2.5,3,0.0,3.0,4,0.0,0.0,0,0.0,1.0,2,0.0,1.5,3,0.0,0.0,0,0.0
7,1072572100_540536_20201223,0.0,0,1.0,0.0,0,1.0,2.0,2,1.0,3.0,3,1.0,0.0,0,1.0,0.0,0,1.0
8,986114138_473248_20191118,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.0,0.0,0,0.0
9,1076487758_546503_20210114,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0
10,1076265417_546503_20210113,2.0,2,1.0,2.0,2,1.0,0.0,0,1.0,3.5,4,1.0,0.0,0,1.0,0.0,0,1.0
11,1033388795_509652_20200630,0.0,0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0,1.0,1.0,1,0.0,0.0,0,0.0
12,1072341440_546507_20201222,0.5,1,1.0,0.0,0,1.0,0.0,0,1.0,1.0,2,1.0,1.0,2,1.0,1.0,1,1.0
13,1043752325_506940_20200817,,,,,,,,,,,,,,,,,,
14,977598747_477120_20191106,1.0,1,0.0,0.0,0,0.0,3.0,3,0.0,0.0,0,0.0,1.0,1,0.0,,,
15,1069192277_544837_20201209,1.0,1,1.0,0.0,0,1.0,0.0,0,1.0,3.5,4,1.0,0.5,1,1.0,1.0,1,1.0
16,1070969560_548465_20201216,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,1.5,3,1.0,2.0,2,1.0,0.0,0,1.0
17,1029247206_498803_20200610,1.5,2,0.0,0.0,0,0.0,4.0,4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
18,1072567062_546507_20201223,0.0,0,1.0,2.0,2,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0
19,993265501_489139_20191209,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
20,990372920_488835_20191125,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.0,0.0,0,0.0
21,1012367144_495662_20200304,3.0,4,0.0,3.0,4,0.0,4.0,4,0.0,4.0,4,0.0,4.0,4,0.0,1.0,2,0.0
22,1010441096_492651_20200226,1.5,2,0.0,0.0,0,0.0,5.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
23,1003659361_485051_20200129,2.5,3,0.0,1.5,2,0.0,0.0,0,0.0,2.5,3,0.0,3.0,3,0.0,0.0,0,0.0
24,1037747248_505167_20200721,1.0,1,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,0.0
25,1067593545_546512_20201202,4.5,5,1.0,1.0,2,1.0,0.0,0,1.0,2.0,2,1.0,1.5,2,1.0,0.0,0,1.0
26,1010459763_489138_20200226,2.5,4,0.0,2.5,3,0.0,3.5,5,0.0,3.5,4,0.0,3.0,4,0.0,0.0,0,0.0
27,990296676_477810_20191125,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2.0,2,0.0,0.0,0,0.0,0.0,0,0.0
28,1077891954_548715_20210121,5.0,5,1.0,5.0,5,1.0,1.0,1,1.0,5.0,5,1.0,5.0,5,1.0,0.0,0,1.0
29,1046166369_527294_20200826,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,4.0,4,1.0,4.0,4,1.0,0.0,0,1.0
30,1041083421_522944_20200805,2.0,2,0.0,0.0,0,0.0,0.0,0,0.0,1.5,2,0.0,1.5,2,0.0,0.0,0,0.0
31,1052331749_524926_20200923,2.0,2,1.0,3.0,3,1.0,3.0,3,1.0,0.0,0,1.0,3.0,3,1.0,0.0,0,1.0
32,1047977240_524925_20200902,1.5,2,1.0,1.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0
33,1031938107_485124_20200624,0.0,0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,1.0,1,0.0
34,1039267612_513271_20200729,1.5,2,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.0,3.0,3,0.0,0.0,0,0.0
35,1028043324_498757_20200604,1.5,2,0.0,0.0,0,0.0,0.0,0,0.0,1.5,2,0.0,0.5,1,0.0,1.5,2,0.0
36,1071301976_544835_20201217,4.0,4,1.0,4.0,4,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0
37,1050962145_524760_20200916,2.0,2,1.0,1.0,1,1.0,2.0,2,1.0,1.0,1,1.0,0.0,0,1.0,2.0,2,1.0
38,1047969464_509808_20200902,0.0,0,0.0,2.5,3,0.0,0.0,0,0.0,0.0,0,0.0,0.5,1,0.0,0.0,0,0.0
39,1044385384_524761_20200819,0.0,0,0.0,0.5,1,0.0,0.0,0,0.0,1.0,1,0.0,0.0,0,0.0,0.0,0,0.0
40,1077712208_548715_20210120,1.0,1,1.0,0.0,0,1.0,4.5,5,1.0,0.0,0,1.0,1.0,1,1.0,0.0,0,1.0
41,1052342277_530862_20200923,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,4.0,4,1.0
42,1033387557_509940_20200630,3.0,3,0.0,0.0,0,0.0,0.0,0,0.0,3.0,3,0.0,3.0,3,0.0,1.0,1,0.0
43,1008639574_491252_20200219,0.0,0,0.0,1.0,2,0.0,0.0,0,0.0,4.0,4,0.0,4.0,4,0.0,0.0,0,0.0
44,1069193611_545994_20201209,0.0,0,1.0,0.0,0,1.0,1.5,2,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0
45,981876216_487460_20191113,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
46,1067588044_544836_20201202,0.0,0,1.0,0.0,0,1.0,1.0,1,1.0,1.5,2,1.0,0.5,1,1.0,1.0,1,1.0
47,1036476611_506798_20200715,,,,,,,,,,,,,,,,,,
48,1005249204_495800_20200205,1.5,2,0.0,5.0,5,0.0,1.0,2,0.0,5.0,5,0.0,5.0,5,0.0,1.0,2,0.0
49,1070961372_544835_20201216,0.0,0,1.0,1.5,2,1.0,1.0,1,1.0,1.0,1,1.0,0.0,0,1.0,0.0,0,1.0
50,1071300149_548465_20201217,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,1.0,1,1.0,1.0,1,1.0,2.0,2,1.0
51,1072345110_540536_20201222,0.0,0,1.0,1.0,1,1.0,3.5,4,1.0,1.5,3,1.0,2.5,3,1.0,0.0,0,1.0
52,1077711823_545996_20210120,0.0,0,1.0,1.5,3,1.0,0.0,0,1.0,0.0,0,1.0,1.0,1,1.0,0.0,0,1.0
