MID,Date,probeA,probeB,probeC,probeD,probeE,probeF,Sharpened or Unsharpened,Directory,Notes,Bleeding = 0-4? Or 0-2?
1001820677_476815_20200122,,5,0,0,0,0,0,0,,,"None, Miniscule, Mild, Moderate, Severe"
1003659361_485051_20200129,,2,1,0,2,3,0,0,,,Sharpened = 1
1005249204_495800_20200205,,1,5,0,5,5,0,0,,,Unsharpened = 0
1008639574_491252_20200219,,0,0,0,4,4,0,0,,,
1010441096_492651_20200226,,1,0,5,0,0,0,0,,,
1010459763_489138_20200226,,4,2,5,4,4,0,0,,,
1012367144_495662_20200304,,2,2,4,4,4,0,0,,,
1028043324_498757_20200604,,2,0,0,1,1,1,0,,Should probably just not use this one since looks like the prep was bad too. ,
1029247206_498803_20200610,,1,0,4,0,0,0,0,,,
1030489628_498756_20200617,,2,2,0,0,0,0,0,,,
1031938107_485124_20200624,,,,0,,0,1,0,,,
1031938107_485124_20200624,,0,0,,0,,,1,,,
1033387557_509940_20200630,,3,0,0,3,3,1,0,,,
1033388795_509652_20200630,,,,0,,1,0,0,,,
1033388795_509652_20200630,,0,0,,0,,,1,,,
1037747248_505167_20200721,,,,0,,0,0,0,,,
1037747248_505167_20200721,,1,0,,0,,,1,,,
1037927382_513573_20200722,,0,0,,1,,,1,,,
1037927382_513573_20200722,,,,0,,1,0,0,,,
1039257177_524921_20200729,,0,0,0,1,0,0,1,,,
1039267612_513271_20200729,,1,0,0,1,3,0,0,,,
1041083421_522944_20200805,,2,0,0,1,1,0,0,,,
1043752325_506940_20200817,,0,0,2,0,0,0,?,,,
1044385384_524761_20200819,,X,1,0,1,0,0,0,,A failed to penetrate,
1044389060_510589_20200819,,2,2,0,0,0,0,1,,,
1046166369_527294_20200826,,0,0,0,4,4,0,1,,,
1047969464_509808_20200902,,0,2,0,0,0,0,0,,,
1047977240_524925_20200902,,1,1,0,0,0,0,1,,,
1067588044_544836_20201202,,0,0,1,2,1,1,1,,,
1067593545_546512_20201202,,5,0,0,2,2,0,1,,,
1069192277_544837_20201209,,1,0,0,4,0,1,1,,,
1069193611_545994_20201209,,0,0,1,0,0,0,1,,,
1070961372_544835_20201216,,,2,1,1,0,0,1,,,
1070969560_548465_20201216,,0,0,0,0,2,0,1,,,
1071300149_548465_20201217,,0,0,0,1,1,2,1,,,
1071301976_544835_20201217,,4,4,0,0,0,0,1,,,
1072341440_546507_20201222,,0,0,0,0,0,1,1,,,
1072345110_540536_20201222,,0,1,3,3,3,0,1,,,
1072567062_546507_20201223,,0,2,0,0,0,0,1,,,
1072572100_540536_20201223,,0,0,2,3,0,0,1,,,
1076265417_546503_20210113,,2,2,0,4,0,0,1,,,
1076487758_546503_20210114,,0,0,0,0,0,0,1,,,
1077711823_545996_20210120,,0,0,0,0,1,0,1,,"Day1, very slight bleeding on F",
1077712208_548715_20210120,,1,0,5,0,1,0,1,,Day 1,
1077891954_548715_20210121,,5,5,1,5,5,0,1,,Day 1,
1077897245_545996_20210121,,2,2,0,0,0,0,1,,Day 1,
977598747_477120_20191106,,1,0,3,0,1,X,0,,,
981876216_487460_20191113,,0,0,0,0,0,0,0,,,
986114138_473248_20191118,,0,0,0,0,1,0,0,,,
987924404_487461_20191120,,0,0,0,2,0,0,0,,,
990296676_477810_20191125,,0,0,0,2,0,0,0,,,
990372920_488835_20191125,,0,0,0,0,1,0,0,,,
993265501_489139_20191209,,0,0,0,0,0,0,0,,,
