,Description,N_insertions,None,Miniscule,Mild,Moderate,Severe
0,probe A sharpened,29,0.5517241379310345,0.1724137931034483,0.13793103448275862,0.034482758620689655,0.10344827586206896
1,probe A unsharpened,22,0.4090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.045454545454545456
2,probe B sharpened,29,0.5517241379310345,0.20689655172413793,0.10344827586206896,0.06896551724137931,0.06896551724137931
3,probe B unsharpened,22,0.6363636363636364,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.045454545454545456
4,probe C sharpened,25,0.6,0.2,0.08,0.08,0.04
5,probe C unsharpened,26,0.6923076923076923,0.11538461538461539,0.0,0.07692307692307693,0.11538461538461539
6,probe D sharpened,29,0.4827586206896552,0.3103448275862069,0.034482758620689655,0.10344827586206896,0.06896551724137931
7,probe D unsharpened,22,0.4090909090909091,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.13636363636363635
8,probe E sharpened,25,0.52,0.28,0.08,0.04,0.08
9,probe E unsharpened,26,0.34615384615384615,0.38461538461538464,0.0,0.15384615384615385,0.11538461538461539
10,probe F sharpened,25,0.76,0.12,0.08,0.0,0.04
11,probe F unsharpened,25,0.72,0.28,0.0,0.0,0.0
12,All Probes Sharpened,162,0.5740740740740741,0.21604938271604937,0.08641975308641975,0.05555555555555555,0.06790123456790123
13,All Probes Unsharpened,143,0.5384615384615384,0.23776223776223776,0.06293706293706294,0.08391608391608392,0.07692307692307693
