excep sucks,all mice,siezure mice
,485124,546512
,496639,544835
,498756,548717
,498757,545994
,498803,548715
,505167,545996
,506798,540536
,506940,546503
,509652,550324
,509808,548716
,509811,536213
,509940,546508
,510589,524921
,512913,522944
,513271,510589
,513573,527294
,521466,524926
,522944,531237
,524760,
,524761,
,524921,
,524925,
,524926,
,527294,
,527749,
,530862,
,531237,
,532246,
,533537,
,533539,
,536211,
,536213,
,536480,
,540536,
,541234,
,542072,
,544358,
,544456,
,544835,
,544836,
,544837,
,544838,
,544840,
,545994,
,545996,
,546503,
,546507,
,546508,
,546512,
,547866,
,548465,
,548715,
,548716,
,548717,
,548720,
,548721,
,550324,
